user_id,session_type,engagement,learning_helpfulness,understanding,vs_other_ai,what_liked,would_use_again,what_improve
UT2XX3w08wPgt6eIvWt8rzWriWF3,arraylist,Agree,Strongly Disagree,Agree,Strongly Agree,More experiments and displays,No,
UT2XX3w08wPgt6eIvWt8rzWriWF3,recursion,Disagree,Neutral,Agree,Disagree,I have learned recursion,No,
VfueDMfg7xVn4MXINPaKd1pO50N2,arraylist,Neutral,Neutral,Neutral,Neutral,The way the character speaks.,Maybe,
VfueDMfg7xVn4MXINPaKd1pO50N2,recursion,Neutral,Neutral,Neutral,Neutral,"It's interesting, but I got lost sometimes. I understood the concept, but is it suppose to be in theory or in actual code, but then again thats on me.
",No,
WFz2qbVG8Ub5SFyZTwzuybgZFMJ2,arraylist,Neutral,Agree,Neutral,Neutral,The personalization,Yes,
WFz2qbVG8Ub5SFyZTwzuybgZFMJ2,recursion,Neutral,Neutral,Neutral,Neutral,"It explained it in a very simple way, and was not too much information to take in. ",Maybe,
X8nQivwspCSJr5An9iq1trCe7KR2,arraylist,Neutral,Disagree,Agree,Disagree,"The visual diagram was a nice touch, helped me to understand.",Maybe,
X8nQivwspCSJr5An9iq1trCe7KR2,recursion,Agree,Strongly Agree,Agree,Neutral,I once again enjoyed the visual models,Yes,
Yxs6ep3KjPYkHdAqKahkafkUHZs1,arraylist,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,very nice persona ruleset!,Yes,stricter ruleset. 
ZlvLCVTICFR8tBlGbCIGv5752Lf2,arraylist,Strongly Agree,Agree,Strongly Agree,Agree,this was very thorough and gave me a lot of examples,Yes,
c2MXSYceS4XYMEnn3MAwQcQlbak1,arraylist,Strongly Disagree,Agree,Neutral,Strongly Disagree,This was a painful experience. ,Maybe,
c2MXSYceS4XYMEnn3MAwQcQlbak1,recursion,Neutral,Strongly Agree,Agree,Disagree,No,Maybe,
c7KI5GHsSEdjcEm00XjghgtERo73,arraylist,Strongly Agree,Agree,Agree,Strongly Agree,I was able to ask questions and it gave a good follow response with an example. ,Yes,
c7KI5GHsSEdjcEm00XjghgtERo73,recursion,Strongly Agree,Strongly Agree,Agree,Strongly Agree,It was computer science focused and it all made perfect sense as well as providing examples. It also asks for user feedback to make sure you understand instead of assuming you do. ,Yes,
cva8aUm1erWRXr4LN8puvAxR9pH3,arraylist,Agree,Neutral,Strongly Agree,Strongly Agree,The connection to real life situations as it connects to my memory very well.,Maybe,
dHxuuttlnKOQ7XlEe9BYqSTTrqi1,arraylist,Agree,Strongly Agree,Agree,Agree,the Ai was super helpful,Yes,
dHxuuttlnKOQ7XlEe9BYqSTTrqi1,recursion,Agree,Agree,Agree,Agree,idk,Yes,
fxKWPTaDCGXI2dz7mbLsAqHU0CU2,arraylist,Disagree,Strongly Disagree,Disagree,Disagree,Did not feel helpful. It felt like the tool talked at me and did not answer questions in a helpful way. ,No,
gBOUb9Di6GadfkDvQLnrX73otG03,arraylist,Agree,Neutral,Agree,Agree,Having time to process everything and ask questions at my own pace,Maybe,
gBOUb9Di6GadfkDvQLnrX73otG03,recursion,Agree,Strongly Agree,Agree,Agree,I liked how it asked for feedback and provided immediate feedback when I answered,Maybe,
hC4w6MdexjQl2Ph4EouutrCFRoG3,arraylist,Disagree,Disagree,Neutral,Neutral,The explanations of each question.,Maybe,
hC4w6MdexjQl2Ph4EouutrCFRoG3,recursion,Disagree,Disagree,Disagree,Disagree,.,Maybe,
ho7VWbC1MxT1kafPK2XvjodzKik2,arraylist,Agree,Agree,Agree,Agree,"It was very descriptive and when I didn't understand something and asked it to explain it clearer like a person that is learning arrays for the first time, it taught me about how ArrayList work with an example of an expanding bookshelf. I really like its examples and it's visual teaching way is also a good touch.",Yes,
ho7VWbC1MxT1kafPK2XvjodzKik2,recursion,Agree,Agree,Agree,Agree,understood.,Yes,
jjrhR6j2KBM2ljWc6hI8G5TtoCD2,arraylist,Strongly Agree,Agree,Neutral,Agree,I liked how the AI knew what parts of the subject I was a bit weak on based on my responses.,Yes,
jjrhR6j2KBM2ljWc6hI8G5TtoCD2,recursion,Agree,Agree,Agree,Agree,I liked how quickly the AI responded. It made me understand the lesson faster.,Yes,
jnHhdJjyzSg7NGN35wTPo7uBnfo2,arraylist,Neutral,Agree,Neutral,Neutral,"it was cool, i feel like i chose a boring bot",Yes,
jnHhdJjyzSg7NGN35wTPo7uBnfo2,recursion,Neutral,Neutral,Agree,Neutral,"The different characters, and their personalities ",Yes,
jxesNDSnbaaXFNl6W1gtPmRpnsl1,arraylist,Agree,Neutral,Agree,Agree,I appreciate being asked to explain it back and think that that really helps. However I think it would be better if it made you do one problem as well.,Maybe,
jxesNDSnbaaXFNl6W1gtPmRpnsl1,recursion,Agree,Agree,Strongly Agree,Disagree,"I do not think this was more helpful than a larger language model as I was asking for a practice question and it would not. It was not fully answering my questions, and cuts it off once it thinks youre done rather than when you feel you are. Answers after that point felt short and not well explaines. ",Maybe,
mIXe2bIDutdkPH2CxfTEW3X8IuS2,arraylist,Agree,Neutral,Agree,Neutral,Examples were decent and the interactive aspect of the bot was good. ,Yes,
mIXe2bIDutdkPH2CxfTEW3X8IuS2,recursion,Agree,Agree,Agree,Disagree,I like the interactive learning. When I was confused it reexplained in a different way.,Maybe,
nJQDUoUKyCZtYOrXBhCa1vVQM5F2,arraylist,Agree,Strongly Agree,Agree,Agree,"I think this was very helpful, but maybe be more clearer in some parts on what it wants you to say/if you got something wrong to try again. ",Yes,
nJQDUoUKyCZtYOrXBhCa1vVQM5F2,recursion,Agree,Agree,Agree,Agree,its interactive ,Yes,
nMcq9BcrQLShkt80j8BrTy4Lhdo2,arraylist,Agree,Agree,Neutral,Strongly Agree,It was pretty helpful in breaking down the difficult to understand topics with real world examples. It was also nice because it was able to take my examples and explain how it relates to the topic I was learning about. ,Yes,
nMcq9BcrQLShkt80j8BrTy4Lhdo2,recursion,Agree,Neutral,Disagree,Strongly Agree,I liked how easy it was to talk to and it made sense in responding to my responses,Yes,
nuTLU4inbkgo3DhEysbjqZcRwo32,arraylist,Agree,Strongly Disagree,Agree,Strongly Disagree,"How empty it can feel to realize what you're talking to, I think I do prefer AI with a personality but not one that feels fake. But that must a hard task to achieve. ",Maybe,
nuTLU4inbkgo3DhEysbjqZcRwo32,recursion,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Asking the bot to continue after cutting off. ,No,
p8WOtXcwwUUwME4kpYo3SpxqRd52,arraylist,Strongly Agree,Neutral,Disagree,Disagree,It gives examples of code and explains what it's doing,Yes,
p8WOtXcwwUUwME4kpYo3SpxqRd52,recursion,Agree,Strongly Agree,Agree,Neutral,It was clear on how it worked and I understood it well,Yes,
r8Z55stG3Pe5HLEvIJVapLi9gMV2,arraylist,Strongly Disagree,Neutral,Agree,Neutral,"the information, i am agianst the use of AI",No,
r8Z55stG3Pe5HLEvIJVapLi9gMV2,recursion,Strongly Disagree,Disagree,Agree,Neutral,that it was quick,No,
rahQ5wQyQNOynXJ7Xz4wBvbih5z1,arraylist,Agree,Neutral,Strongly Agree,Neutral,I enjoyed how the Chatbot used references to make the information easier to retain (i.e. Tony Stark with his mechanical background as Iron Man).,Yes,
rahQ5wQyQNOynXJ7Xz4wBvbih5z1,recursion,Neutral,Neutral,Agree,Disagree,I enjoyed the personalized AI to help me better understand the topic.,Maybe,
sA4W1vv57hYuNsFgrO74TFQB9lt1,arraylist,Neutral,Neutral,Agree,Agree,I wish it didn't kick me out if I had more questions before the quiz. ,Maybe,
sA4W1vv57hYuNsFgrO74TFQB9lt1,recursion,Neutral,Disagree,Neutral,Agree,"It liked my metaphors, but I'm not sure it was totally understanding why I used and thought of those metaphors.",Yes,
sBsPIGe4HWM4uX2Wh7ib88DPVdD3,arraylist,Agree,Neutral,Neutral,Strongly Agree,I liked that it gave me visuals and I had the option to ask questions.,Maybe,
sBsPIGe4HWM4uX2Wh7ib88DPVdD3,recursion,Neutral,Agree,Neutral,Neutral,"I like that you can pause and ask questions, and go at your own pase.",Yes,
sop6PXrgnVYTjAu8flbuErEY1AW2,arraylist,Neutral,Agree,Strongly Agree,Agree,What you can ask and find out,Maybe,
sop6PXrgnVYTjAu8flbuErEY1AW2,recursion,Neutral,Agree,Agree,Agree,The ability to ask many questions,Yes,
sqZI2SLCZ8XQ7CNYHmlyuMtRkF62,arraylist,Agree,Strongly Agree,Agree,Agree,the freedom of being able to learn on your own,Maybe,
sqZI2SLCZ8XQ7CNYHmlyuMtRkF62,recursion,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,interacting,Yes,
ufa3OoBKJzdMedjoMwdj65xW7Eo2,arraylist,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,straight to the point definitions and then showing examples to understand said topics,Yes,
ufa3OoBKJzdMedjoMwdj65xW7Eo2,recursion,Agree,Strongly Agree,Strongly Agree,Neutral,n/a,Yes,
vK1vk3qedUc6g4Nq0RhvvcbRJJR2,arraylist,Strongly Disagree,Agree,Agree,Neutral,"I like the option of being able to ask any question that I want in particular and have an answer replied in quick time. Also, I can ask for code and have it break it down and see mutiple examples for different situations. ",Maybe,
vK1vk3qedUc6g4Nq0RhvvcbRJJR2,recursion,Disagree,Agree,Agree,Agree,"I already had knowledge about this taking math for it. However, I just enjoyed being able to ask questions and get answers back quickly.  Though I would much rather a professor to feel that connection and feel engaged. ",Maybe,
wSlcdOBLGygvUA7l2rhVJEn5RC52,arraylist,Disagree,Disagree,Agree,Strongly Disagree,kinda repetitive ,Maybe,
wSlcdOBLGygvUA7l2rhVJEn5RC52,recursion,Agree,Agree,Neutral,Strongly Disagree, ,No,
widdp0juTwVy6MS26Gm7fL5KcSY2,arraylist,Agree,Neutral,Agree,Agree,"I liked that it did use all of my questions , even the personas

",Yes,
widdp0juTwVy6MS26Gm7fL5KcSY2,recursion,Disagree,Agree,Strongly Agree,Strongly Agree,"It was quicker and stayed on topic compared to ChatGPT
",Yes,
wuV5aQXTjVbNHyLxgOfTrXpkNMv2,arraylist,Strongly Agree,Agree,Agree,Strongly Agree,It's always fun and right to learn something new every day!,Yes,
wuV5aQXTjVbNHyLxgOfTrXpkNMv2,recursion,Strongly Agree,Agree,Neutral,Agree,I liked how I got to learn something new that is crucial to learning to program.,Yes,
xRmTBf5lXSOnjK789d5On6Xslf43,arraylist,Agree,Disagree,Disagree,Agree,"The catered straightforward responses

",Yes,
xRmTBf5lXSOnjK789d5On6Xslf43,recursion,Disagree,Disagree,Disagree,Agree,"Good amount of examples
",Yes,
